No. ,Mark,    H:M:S,    D.M.Y,    F,  Fm', Yield,   ETR,   PAR,  Temp,  Batt,   Fo', int.T,    qP,    qN,   NPQ
'MINI-PAM SETTINGS 15:56 26.FEB 15
'MI=3;SI=9;SW=0.8;AI=9;AW=0:05;AF=1.00;G=9;D=3;EF=0.84;FO=62;CT=0:30;CI=1;LW=0:30;LI=1;ID=0:40;IW=0:20;TO=0.0;TG=1.00;LO=0;LG=1.00;
'LC 1 16:34:40 26.02.15 
2635,  l , 16:34:40, 26.02.15,  451, 1501, 0.699,   0.0,     0,   0.0,  13.4,     0,    25, 1.000, 0.000, 0.000
2636,  A , 16:35:10, 26.02.15,  549,  777, 0.293,   4.3,    36,   0.0,  13.2,     0,    25, 0.699, 0.689, 0.931
2637,  A , 16:35:41, 26.02.15,  525,  646, 0.187,   7.8,   100,   0.0,  13.1,     0,    25, 0.620, 0.814, 1.323
2638,  A , 16:36:11, 26.02.15,  492,  610, 0.193,  16.2,   200,   0.0,  13.0,     0,    25, 0.742, 0.848, 1.460
2639,  A , 16:36:41, 26.02.15,  516,  572, 0.097,  13.7,   340,   0.0,  12.9,     0,    25, 0.462, 0.884, 1.624
2640,  A , 16:37:11, 26.02.15,  506,  546, 0.073,  14.7,   480,   0.0,  12.8,     0,    26, 0.421, 0.909, 1.749
2641,  A , 16:37:41, 26.02.15,  497,  527, 0.056,  15.2,   650,   0.0,  12.7,     0,    26, 0.394, 0.927, 1.848
2642,  A , 16:38:11, 26.02.15,  487,  505, 0.035,  13.6,   930,   0.0,  12.7,     0,    27, 0.333, 0.948, 1.972
2643,  A , 16:38:41, 26.02.15,  478,  494, 0.032,  16.8,  1250,   0.0,  12.6,     0,    27, 0.372, 0.959, 2.038
'LC 2 16:39:44 26.02.15 
2644,  l , 16:39:44, 26.02.15,  369, 1219, 0.697,   0.0,     0,   0.0,  13.1,     0,    27, 1.000, 0.000, 0.000
2645,  A , 16:40:14, 26.02.15,  456,  651, 0.299,   4.4,    36,   0.0,  12.9,     0,    27, 0.691, 0.668, 0.872
2646,  A , 16:40:44, 26.02.15,  445,  552, 0.193,   8.0,   100,   0.0,  12.9,     0,    27, 0.584, 0.784, 1.208
2647,  A , 16:41:14, 26.02.15,  453,  517, 0.123,  10.3,   200,   0.0,  12.8,     0,    27, 0.432, 0.825, 1.357
2648,  A , 16:41:44, 26.02.15,  443,  491, 0.097,  13.7,   340,   0.0,  12.8,     0,    28, 0.393, 0.856, 1.482
2649,  A , 16:42:15, 26.02.15,  438,  476, 0.079,  15.8,   480,   0.0,  12.8,     0,    28, 0.355, 0.874, 1.560
2650,  A , 16:42:45, 26.02.15,  433,  462, 0.062,  16.8,   650,   0.0,  12.7,     0,    29, 0.311, 0.890, 1.638
2651,  A , 16:43:15, 26.02.15,  426,  445, 0.042,  16.3,   930,   0.0,  12.6,     0,    29, 0.250, 0.910, 1.739
2652,  A , 16:43:45, 26.02.15,  419,  438, 0.043,  22.5,  1250,   0.0,  12.6,     0,    29, 0.275, 0.918, 1.783
'LC 3 16:50:00 26.02.15 
